Name,balance,credit_score,bill_status,loan_status,loan_amount,disputed_amount,user_id,Address,Email,pincode
Bob,2800,700,1000,No,0,200,1234567890,"123 Main St, City",alice@example.com,12345
Charlie,3000,720,800,Yes,5000,150,1234567890,"456 Elm St, Town",bob@example.com,67890
David,1000,700,200,No,0,400,9876543210,"789 Oak Rd, Village",charlie@example.com,54321
Eve,500,710,1500,Yes,8000,300,1112223333,"101 Pine Ave, Suburb",david@example.com,98765
Frank,100,690,300,No,0,0,5556667777,"222 Cedar Ln, Hamlet",eve@example.com,23456
Grace,200,650,2500,Yes,10000,120,9990001111,"567 Spruce Pl, City",frank@example.com,34567
Hank,10000,750,600,No,0,50,7778889999,"789 Birch Ave, Town",grace@example.com,87654
Ivy,4000,702,1000,Yes,6000,0,4445556666,"321 Maple Rd, Village",hank@example.com,43210
Jack,3500,680,400,No,0,36,2223334444,"543 Redwood Dr, Suburb",ivy@example.com,76543
Katie,4300.25,710,900,Yes,5500,200,7778889999,"234 Pine St, Suburb",katie@example.com,54321
Liam,2900,720,1200,No,0,150,4445556666,"567 Cedar Rd, Village",liam@example.com,87654
Mia,3800.5,690,600,Yes,4200,400,1239874560,"890 Oakwood Pl, City",mia@example.com,12345
Noah,6700.75,730,2000,No,0,300,5556667777,"123 Maple Ln, Town",noah@example.com,67890
Olivia,2100,680,800,No,0,0,9876543210,"456 Birch Dr, Village",olivia@example.com,23456
Sophia,5200.25,750,1500,yes,8000,120,1112223333,"789 Elm Ave, Suburb",sophia@example.com,78901
Lucas,4500,720,1000,No,0,50,3334445555,"345 Spruce Rd, Town",lucas@example.com,32123
Emma,3400.75,760,900,Yes,4800,0,2223334444,"901 Cedar Ct, City",emma@example.com,98765
Ava,4800.5,710,1100,Yes,6000,36,6667778888,"234 Birch Ln, Village",ava@example.com,45678
William,6200,690,1800,No,0,540,9990001111,"567 Oak Rd, Suburb",william@example.com,89012
Nora,5200.5,720,1200,Yes,5000,5200,5556667777,"456 Elm St, Town",nora@example.com,23456
William,3900.75,750,900,No,0,471,6667778888,"789 Oak Rd, Village",william@example.com,34567
Amelia,4800.25,710,1400,Yes,5500,1234,7778889999,"101 Pine Ave, Suburb",amelia@example.com,43210
Benjamin,6200,700,1100,No,0,534,8889990000,"321 Maple Rd, Village",benjamin@example.com,87654
Mia,5400.75,730,1300,Yes,4800,545,9990001111,"567 Spruce Pl, City",mia@example.com,32123
Samuel,3200.2,760,1600,No,0,7688,1112223333,"123 Main St, City",samuel@example.com,98765
Sophie,4100.75,740,1200,Yes,5100,588,2223334444,"876 Oakwood Ct, City",sophie@example.com,76543
Jacob,4700,720,1000,No,0,687,3334445555,"222 Cedar Ln, Hamlet",jacob@example.com,12345
Grace,3400.5,750,1300,Yes,5900,367,4445556666,"789 Birch Ave, Town",grace@example.com,67890
Elijah,6000.25,710,1400,No,0,780,5556667777,"432 Elm St, Suburb",elijah@example.com,54321
Ava,2800.75,700,1100,Yes,4200,28,6667778888,"876 Oakwood Ct, City",ava@example.com,23456
Daniel,4300,730,1500,No,0,75,7778889999,"222 Cedar Ln, Hamlet",daniel@example.com,34567
Charlotte,3900.25,760,1200,Yes,5300,258,8889990000,"789 Birch Ave, Town",charlotte@example.com,43210
Matthew,5700,740,1300,No,0,254,9990001111,"432 Elm St, Suburb",matthew@example.com,87654
Olivia,3600.75,720,1000,Yes,5200,879,1112223333,"876 Oakwood Ct, City",olivia@example.com,32123
James,4300.5,750,1400,No,0,12,2223334444,"222 Cedar Ln, Hamlet",james@example.com,98765
Emma,5400.75,710,1200,Yes,4800,47,3334445555,"789 Birch Ave, Town",emma@example.com,76543
Lucas,4500.25,700,1100,No,0,455,4445556666,"432 Elm St, Suburb",lucas@example.com,12345
Lily,3800.5,730,1300,Yes,5100,58,5556667777,"876 Oakwood Ct, City",lily@example.com,67890
Alexander,4600.25,760,1600,No,0,90,6667778888,"222 Cedar Ln, Hamlet",alexander@example.com,54321
Chloe,3500.75,740,1400,Yes,5900,87,7778889999,"789 Birch Ave, Town",chloe@example.com,23456
Henry,5100.25,720,1200,No,0,78,8889990000,"432 Elm St, Suburb",henry@example.com,34567
Harper,5900.75,750,1000,Yes,4200,65,9990001111,"876 Oakwood Ct, City",harper@example.com,43210
Joseph,3200.25,710,1300,No,0,45,1112223333,"222 Cedar Ln, Hamlet",joseph@example.com,87654
Abigail,4400,700,1200,Yes,5300,54,2223334444,"789 Birch Ave, Town",abigail@example.com,32123
David,6800.5,730,1100,No,0,36,3334445555,"432 Elm St, Suburb",david@example.com,98765
Emily,4900,760,1500,Yes,5200,27,4445556666,"876 Oakwood Ct, City",emily@example.com,76543
Michael,3100.75,740,1300,No,0,6774,5556667777,"222 Cedar Ln, Hamlet",michael@example.com,12345
Ella,5200,720,1000,Yes,4800,587,6667778888,"789 Birch Ave, Town",ella@example.com,67890
Andrew,4200.75,750,1400,No,0,982,7778889999,"432 Elm St, Suburb",andrew@example.com,54321
